symbol,name
BTC,비트코인
ETH,이더리움
ETC,이더리움 클래식
XRP,리플
BCH,비트코인 캐시
QTUM,퀀텀
BTG,비트코인 골드
EOS,이오스
ICX,아이콘
TRX,트론
ELF,엘프
KNC,카이버 네트워크
GLM,골렘
ZIL,질리카
WAXP,왁스
POWR,파워렛저
LRC,루프링
STEEM,스팀
ZRX,제로엑스
SNT,스테이터스네트워크토큰
ADA,에이다
CTXC,코르텍스
BAT,베이직어텐션토큰
THETA,쎄타토큰
LOOM,룸네트워크
CVC,시빅
WAVES,웨이브
LINK,체인링크
ENJ,엔진코인
VET,비체인
MTL,메탈
IOST,이오스트
AMO,아모코인
BSV,비트코인에스브이
ORBS,오브스
TFUEL,쎄타퓨엘
VALOR,밸러토큰
ANKR,앵커
MIX,믹스마블
CRO,크로노스
FX,펑션엑스
CHR,크로미아
MBL,무비블록
MXC,머신익스체인지코인
FCT2,피르마체인
WOM,왐토큰
BOA,보아
MEV,미버스
SXP,솔라
COS,콘텐토스
EL,엘리시아
HIVE,하이브
XPR,엑스피알 네트워크
FIT,300피트 네트워크
EGG,네스트리
BORA,보라
ARPA,알파
CTC,크레딧코인
APM,에이피엠 코인
CKB,너보스
AERGO,아르고
EVZ,이브이지
QTCON,퀴즈톡
UNI,유니스왑
YFI,연파이낸스
UMA,우마
AAVE,에이브
COMP,컴파운드
BAL,밸런서
RSR,리저브라이트
NMR,뉴메레르
RLC,아이젝
UOS,울트라
SAND,샌드박스
STPT,에스티피
BEL,벨라프로토콜
OBSR,옵저버
POLA,폴라리스 쉐어
ADP,어댑터 토큰
DVI,디비전
GHX,게이머코인
MVC,마일벌스
BLY,블로서리
GRT,더그래프
BIOT,바이오패스포트
SNX,신세틱스
SOFI,라이파이낸스
GRACY,그레이시
OXT,오키드
MAPO,맵프로토콜
AQT,알파쿼크
WIKEN,위드
CTSI,카르테시
MANA,디센트럴랜드
LPT,라이브피어
SUSHI,스시스왑
ASM,어셈블 에이아이
PUNDIX,펀디엑스
CELR,셀러네트워크
FRONT,프론티어
RLY,랠리
BFC,바이프로스트
ALICE,마이네이버앨리스
OGN,오리진프로토콜
COTI,코티
CAKE,팬케이크스왑
BNT,뱅코르
XVS,비너스
SWAP,트러스트스왑
CHZ,칠리즈
AXS,엑시인피니티
DAO,다오메이커
SIX,식스
USDS,유에스디에스
SHIB,시바이누
POL,폴리곤 에코시스템 토큰
WOO,우네트워크
ACH,알케미페이
XLM,스텔라루멘
ONT,온톨로지
META,메타디움
KLAY,카이아
ONG,온톨로지가스
ALGO,알고랜드
JST,저스트
XTZ,테조스
MLK,밀크
DOT,폴카닷
ATOM,코스모스
TEMCO,템코
DOGE,도지코인
KSM,쿠사마
CTK,셴투
BNB,비앤비
NFT,에이피이앤에프티
SUN,썬
XEC,이캐시
SOL,솔라나
EGLD,멀티버스엑스
MASK,마스크네트워크
C98,코인98
MED,메디블록
1INCH,1인치
CRV,커브
BOBA,보바토큰
DYDX,디와이디엑스
MINA,미나
FLOW,플로우
JOE,트레이더 조
GALA,갈라
ENS,이더리움네임서비스
BTT,비트토렌트
JASMY,재스미코인
REQ,리퀘스트
CSPR,캐스퍼
AVAX,아발란체
TDROP,티드랍
HBAR,헤데라
FANC,팬시
NPT,네오핀
REI,레이
T,쓰레스홀드
MBX,마브렉스
GMT,스테픈
TAVA,알타바
DAR,마인즈 오브 달라니아
APE,에이프코인
WNCG,랩트 나인 크로니클 골드
AL,아치루트
XCN,오닉스코인
AZIT,아지트
FLR,플레어
SFP,세이프팔
FITFI,스텝앱
STAT,스탯
CRTS,크라토스
VIX,빅스코
LBL,레이블 에이아이
FLZ,펠라즈
LM,레저메타
GRND,슈퍼워크
APT,앱토스
BLUR,블러
WEMIX,위믹스
OAS,오아시스
HOOK,훅트 프로토콜
XENT,센트
LWA,루미웨이브
OP,옵티미즘
ROA,로아코어
GMX,지엠엑스
STX,스택스
XPLA,엑스플라
ARB,아비트럼
INJ,인젝티브
HFT,해시플로우
RPL,로켓풀
IMX,이뮤터블엑스
CFX,콘플럭스
ACS,액세스프로토콜
FXS,프랙스 셰어
CELO,셀로
LDO,리도다오
FTM,팬텀
FET,페치
SUI,수이
NCT,폴리스웜
FLOKI,플로키
ALEX,알렉스
ID,스페이스 아이디
RENDER,렌더토큰
STG,스타게이트 파이낸스
OSMO,오스모시스
ILV,일루비움
MAV,매버릭 프로토콜
RSS3,알에스에스쓰리
AUDIO,오디우스
AGI,델리시움
RDNT,라디언트 캐피탈
ASTR,아스타
WLD,월드코인
FLUX,플럭스
AR,알위브
RVN,레이븐코인
LEVER,레버파이
EDU,오픈 캠퍼스
SEI,세이
WAXL,엑셀라
MOC,모스코인
PEPE,페페
CYBER,사이버
ARKM,아캄
PYR,불칸 포지드
IOTX,아이오텍스
HIGH,하이스트리트
PENDLE,펜들
STORJ,스토리지
API3,에이피아이쓰리
ZTX,지티엑스
MNT,맨틀
GTC,깃코인
TIA,셀레스티아
ICP,인터넷 컴퓨터
SPURS,토트넘 홋스퍼
NEO,네오
GAS,가스
HIFI,하이파이
BIGTIME,빅타임
ZETA,제타체인
GRS,그로스톨코인
ARK,아크
YGG,일드길드게임즈
HUNT,헌트
KAVA,카바
STMX,스톰엑스
MAGIC,매직
USDT,테더
USDC,유에스디코인
RAD,래드웍스
LSK,리스크
TT,썬더코어
ACE,퓨저니스트
IQ,아이큐
PYTH,피스 네트워크
MANTA,만타 네트워크
AKT,아카시 네트워크
JTO,지토
JUP,주피터
STRK,스타크넷
SC,시아코인
BONK,봉크
AIOZ,아이오즈 네트워크
ZK,지케이싱크
ONDO,온도 파이낸스
NEAR,니어프로토콜
FIDA,솔라나 네임 서비스
STRAX,스트라티스
XAI,자이
W,웜홀
ZBCN,지벡
POLYX,폴리매쉬
CORE,코어
ETHFI,이더파이
MEW,캣인어독스월드
ZRO,레이어제로
IO,아이오넷
BLAST,블라스트
TAIKO,타이코
BRETT,브렛
ATH,에이셔
PCI,페이코인
AVAIL,어베일
G,그래비티
EIGEN,아이겐레이어
UXLINK,유엑스링크
SKY,스카이 프로토콜
